Merchant City,Transaction Month,Amount,Merchant State,Transaction Type,Has Chip,User Zip,Credit Limit,Age,Is Fraud?,fraud_categories
Wilkes Barre,6,100,PA,Swipe Transaction,YES,18706,8800,54,No,Low Risk
ONLINE,8,22.68,,Online Transaction,YES,,14133,75,No,Low Risk
Muse,11,25.3,PA,Swipe Transaction,YES,15350,10843,38,No,Low Risk
ONLINE,5,30.66,,Online Transaction,YES,,21900,85,No,Low Risk
Woburn,1,2.92,MA,Chip Transaction,YES,1801,27180,37,No,Low Risk
Warner Robins,5,14.62,GA,Chip Transaction,YES,31093,11457,62,No,Low Risk
Delray Beach,1,22.47,FL,Swipe Transaction,YES,33445,27776,53,No,Low Risk
Derby,4,22.28,KS,Swipe Transaction,NO,67037,11200,62,No,Low Risk
Meraux,12,50.77,LA,Swipe Transaction,YES,70075,17100,61,No,Low Risk
Orlando,9,120,FL,Swipe Transaction,YES,32807,18000,24,No,Low Risk
Pascoag,9,163.02,RI,Swipe Transaction,NO,2859,15160,34,No,Low Risk
Chantilly,11,29.59,VA,Swipe Transaction,YES,20152,21600,65,No,Low Risk
Los Angeles,7,52,CA,Swipe Transaction,NO,90004,7217,64,No,Low Risk
Brooklyn,10,3.96,NY,Swipe Transaction,YES,11214,8923,47,No,Low Risk
Great Barrington,6,66,MA,Swipe Transaction,YES,1230,13530,31,No,Low Risk
Hubbard,1,74.9,OH,Swipe Transaction,YES,44425,14600,26,No,Low Risk
ONLINE,10,36.23,,Online Transaction,YES,,28300,41,No,Low Risk
San Jose,6,15.63,CA,Swipe Transaction,YES,95134,24600,50,No,Low Risk
Dinuba,11,13.77,CA,Chip Transaction,YES,93618,15512,29,No,Low Risk
San Antonio,11,50.94,TX,Swipe Transaction,YES,78222,8500,47,No,Low Risk
Hawthorne,7,97.85,CA,Swipe Transaction,NO,90250,11500,34,No,Low Risk
New York,8,4.65,NY,Swipe Transaction,YES,10003,81,64,No,Low Risk
Bellbrook,5,129.66,OH,Chip Transaction,YES,45305,7721,62,No,Low Risk
Auburn,6,11.81,NE,Swipe Transaction,YES,68305,15000,67,No,Low Risk
ONLINE,6,47.43,,Online Transaction,YES,,14100,49,No,Low Risk
Warren,10,20,PA,Swipe Transaction,YES,16365,7900,29,No,Low Risk
Dallas,1,62.65,TX,Chip Transaction,YES,75206,16100,41,No,Low Risk
ONLINE,8,41.26,,Online Transaction,YES,,16339,31,No,Low Risk
Berkeley Heights,4,67.51,NJ,Chip Transaction,YES,7922,25422,47,No,Low Risk
ONLINE,7,17.01,,Online Transaction,YES,,25093,37,No,Low Risk
ONLINE,11,395.53,,Online Transaction,NO,,3800,26,Yes,Moderate Risk
ONLINE,9,91.93,,Online Transaction,YES,,10600,54,Yes,Moderate Risk
ONLINE,7,619.7,,Online Transaction,YES,,8200,70,Yes,Moderate Risk
Algiers,7,0.38,Algeria,Swipe Transaction,YES,,13900,50,Yes,Moderate Risk
Drakesboro,3,22.71,KY,Swipe Transaction,YES,42337,14366,47,Yes,Moderate Risk
ONLINE,8,7.02,,Online Transaction,YES,,15409,41,Yes,Moderate Risk
ONLINE,11,10.28,,Online Transaction,YES,,16094,75,Yes,Moderate Risk
Upland,10,3.72,CA,Swipe Transaction,NO,91784,12400,42,Yes,Moderate Risk
Rome,9,31.34,Italy,Chip Transaction,YES,,14094,58,Yes,Moderate Risk
Omaha,6,0.39,NE,Swipe Transaction,YES,68104,14300,29,Yes,Moderate Risk
Rome,4,108.83,Italy,Swipe Transaction,NO,,793,69,Yes,Moderate Risk
Rome,2,27.53,Italy,Chip Transaction,YES,,0,27,Yes,Moderate Risk
ONLINE,6,74.46,,Online Transaction,YES,,32659,22,Yes,Moderate Risk
ONLINE,10,17.6,,Online Transaction,YES,,17536,45,Yes,Moderate Risk
Friendswood,3,163.75,TX,Chip Transaction,YES,77546,43033,48,Yes,Moderate Risk
ONLINE,11,6.8,,Online Transaction,NO,,14464,47,Yes,Moderate Risk
Rome,6,13.39,Italy,Swipe Transaction,NO,,25942,42,Yes,Moderate Risk
Rome,1,256,Italy,Chip Transaction,YES,,21000,47,Yes,Moderate Risk
ONLINE,2,112.41,,Online Transaction,YES,,16642,48,Yes,Moderate Risk
ONLINE,4,35.82,,Online Transaction,YES,,4534,66,Yes,Moderate Risk
ONLINE,5,322.33,,Online Transaction,YES,,4501,50,Yes,Moderate Risk
ONLINE,5,131.96,,Online Transaction,YES,,23169,49,Yes,Moderate Risk
Havelock,3,17.62,NC,Swipe Transaction,YES,28532,7000,52,Yes,Moderate Risk
ONLINE,10,104.34,,Online Transaction,YES,,23237,64,Yes,Moderate Risk
ONLINE,11,71.63,,Online Transaction,YES,,17300,82,Yes,Moderate Risk
ONLINE,12,436.96,,Online Transaction,YES,,35,46,Yes,Moderate Risk
ONLINE,9,40.8,,Online Transaction,YES,,19300,28,Yes,Moderate Risk
ONLINE,1,151.3,,Online Transaction,NO,,7100,37,Yes,Moderate Risk
ONLINE,4,39.74,,Online Transaction,YES,,21205,52,Yes,Moderate Risk
ONLINE,8,19.83,,Online Transaction,YES,,12764,48,Yes,Moderate Risk
ONLINE,9,2318.02,,Online Transaction,YES,,97,53,Yes,Severe Risk
ONLINE,11,2060.21,,Online Transaction,YES,,9300,57,Yes,Severe Risk
Strasburg,2,2259.66,OH,Swipe Transaction,YES,44680,10800,57,Yes,Severe Risk
ONLINE,3,2052.77,,Online Transaction,YES,,16722,69,Yes,Severe Risk
ONLINE,3,3750.6,,Online Transaction,YES,,99,44,Yes,Severe Risk
ONLINE,4,3854.44,,Online Transaction,YES,,17280,43,Yes,Severe Risk
ONLINE,8,2930.44,,Online Transaction,YES,,14561,33,Yes,Severe Risk
ONLINE,12,4133.28,,Online Transaction,YES,,19807,26,Yes,Severe Risk
ONLINE,12,2554.03,,Online Transaction,YES,,746,28,Yes,Severe Risk
ONLINE,9,2298.9,,Online Transaction,YES,,26083,49,Yes,Severe Risk
ONLINE,9,2263.61,,Online Transaction,YES,,18547,31,Yes,Severe Risk
